,plate,make,color,year,total violations,brooklyn,bronx,queens,staten island,manhattan,unknown
235,HMN8673,NISSA,GY,2017,3,2,1,0,0,0,0
236,HMP8673,NISSA,BK,2017,2,2,0,0,0,0,0
237,HMR8673,BENTL,BK,2012,1,0,0,0,0,1,0
238,HMX8673,NISSA,BK,2002,4,3,0,0,0,1,0
239,HNH8673,LINCO,BK,2015,4,4,0,0,0,0,0
240,HNK8673,HONDA,GY,2004,2,0,0,0,0,2,0
241,HNY8673,HYUND,BK,2017,2,0,2,0,0,0,0
242,HNZ8673,MITSU,GY,2006,1,0,0,1,0,0,0
243,HPA8673,JAGUA,BL,2003,12,12,0,0,0,0,0
244,HPB8673,TOYOT,GY,2003,7,1,0,6,0,0,0
245,HPD8673,SUBAR,GY,2017,3,0,1,0,0,2,0
246,HPE8673,FORD,BK,2017,1,0,0,0,0,1,0
247,HPM8673,KIA,GY,2011,1,1,0,0,0,0,0
248,HPN8673,HONDA,GY,2017,1,1,0,0,0,0,0
249,HPU8673,PLYMO,GR,1998,2,1,0,0,0,1,0
250,HPY8673,FORD,BK,2017,1,0,0,0,0,1,0
251,HRD8673,FORD,GY,2015,1,0,0,0,1,0,0
252,HRE8673,NISSA,BK,2013,2,0,0,0,2,0,0
253,HRF8673,,,,1,0,0,1,0,0,0
254,HRH8673,ME/BE,WH,2017,21,1,0,20,0,0,0
255,HRJ8673,TOYOT,BK,2014,2,1,0,1,0,0,0
256,HRK8673,NISSA,WH,2016,11,0,0,0,0,11,0
257,HRP8673,FORD,GY,2017,5,1,0,0,4,0,0
258,HRS8673,HONDA,GY,2017,1,0,0,0,0,1,0
259,HSA8673,CHRYS,BL,2008,2,0,1,1,0,0,0
260,HSF8673,FORD,GY,2013,1,0,1,0,0,0,0
261,HSJ8673,JEEP,GY,2015,1,1,0,0,0,0,0
262,HTL8673,SAAB,BK,2004,3,2,0,1,0,0,0
263,HTN8673,BMW,GR,2016.0,10,0,8,0,0,2,0
264,HTY8673,HONDA,WH,2017,1,1,0,0,0,0,0
265,HTZ8673,CHEVR,WH,2007,6,2,1,3,0,0,0
266,HUA8673,ACURA,RD,2016,4,4,0,0,0,0,0
267,HUG8673,CHRYS,GY,2005,1,0,0,1,0,0,0
268,HUJ8673,HONDA,GY,2011,2,2,0,0,0,0,0
269,HUL8673,LEXUS,GR,1999,2,2,0,0,0,0,0
270,HUV8673,HONDA,RD,2010,3,0,2,1,0,0,0
271,HVD8673,JEEP,BK,2018,2,0,0,0,0,2,0
272,HVJ8673,VOLKS,GY,2017.0,3,0,0,0,3,0,0
273,HVS8673,MAZDA,WH,1990,6,0,0,6,0,0,0
274,HVW8673,NISSA,BK,2018,1,0,0,0,1,0,0
275,HWF8673,CHEVR,BK,2018,1,0,0,1,0,0,0
276,HWG8673,MAZDA,RED,2018,5,0,0,0,0,5,0
277,HWJ8673,MINI,BL,2002,1,0,0,0,0,1,0
278,HWS8673,NISSA,GY,2006,1,0,0,1,0,0,0
279,HWU8673,BMW,BK,2014,1,1,0,0,0,0,0
280,HWW8673,LEXUS,WH,2015.0,5,5,0,0,0,0,0
281,HWZ8673,BMW,GY,2011,6,0,1,5,0,0,0
282,HXF8673,,,,1,1,0,0,0,0,0
283,HXH8673,FORD,WH,2004,2,0,2,0,0,0,0
284,HXL8673,NISSA,BLACK,2018,2,1,1,0,0,0,0
285,HXR8673,TOYOT,GY,2003.0,6,6,0,0,0,0,0
286,HXV8673,AUDI,WT,2014,2,1,0,1,0,0,0
287,HXZ8673,ME/BE,WH,2018.0,6,0,0,0,6,0,0
288,HYY8673,BMW,WH,2018,1,0,0,0,1,0,0
289,HZK8673,HYUND,GY,2018,3,0,0,2,0,1,0
290,HZM8673,NISSA,GY,2017,2,0,0,0,0,2,0
291,HZY8673,CHRYS,BL,2006,1,0,0,1,0,0,0
292,HZZ8673,AUDI,WH,2009,1,0,0,0,0,1,0
293,GAB8673,MAZDA,WH,2012,6,3,0,2,0,1,0
294,GAU8673,NISSA,BLACK,2011,5,1,0,0,0,4,0
295,GBC8673,HONDA,GY,2010,3,0,0,0,0,3,0
296,GBD8673,VOLKS,GY,2010,11,0,0,11,0,0,0
297,GBF8673,PORSC,GY,2013,3,0,0,1,0,2,0
298,GBG8673,CHEVR,WH,2005,3,1,0,0,0,2,0
299,GBK8673,INFIN,WH,2012,1,0,0,0,0,1,0
300,GBL8673,TOYOT,BK,2016,1,0,1,0,0,0,0
301,GBN8673,FORD,WH,2010,24,3,0,12,0,9,0
302,GBT8673,NISSA,GY,2012,1,0,0,1,0,0,0
303,GBX8673,FORD,RD,2005,5,0,3,2,0,0,0
304,GCG8673,JEEP,GY,2006,1,0,0,0,0,1,0
305,GCH8673,ME/BE,BK,2008.0,6,1,0,1,0,4,0
306,GCK8673,NISSA,GY,2013,2,0,0,2,0,0,0
307,GCL8673,ME/BE,WH,2011,3,0,0,3,0,0,0
308,GCN8673,NISSA,GY,2013,3,0,1,0,0,2,0
309,GDD8673,,,,1,0,0,0,0,1,0
310,GDF8673,NISSA,BK,2013,8,2,0,6,0,0,0
311,GDM8673,HONDA,GY,2013,2,1,1,0,0,0,0
312,GDN8673,BMW,BL,1999,2,0,0,2,0,0,0
313,GDP8673,FORD,GY,2013,2,0,0,2,0,0,0
314,GDS8673,DODGE,GR,1999,5,1,0,4,0,0,0
315,GDV8673,NISSA,BR,2013,1,1,0,0,0,0,0
316,GDX8673,,,,3,0,0,3,0,0,0
317,GED8673,CHEVR,TN,2001,2,0,0,1,0,1,0
318,GEF8673,JEEP,GR,2004,1,1,0,0,0,0,0
319,GEH8673,NISSA,GY,2010,5,5,0,0,0,0,0
320,GEJ8673,LINCO,BK,2011,6,5,0,1,0,0,0
321,GEK8673,CHEVR,BLACK,2013,1,1,0,0,0,0,0
322,GEN8673,CHRYS,GREY,2004,3,3,0,0,0,0,0
323,GEW8673,BMW,BL,2002,9,0,0,0,0,9,0
324,GFK8673,MAZDA,BK,2014,7,0,0,7,0,0,0
325,GFM8673,NISSA,WH,2013,1,0,0,1,0,0,0
326,GFN8673,HYUND,BK,2009,3,0,0,2,0,1,0
327,GFV8673,LEXUS,GY,2001,1,0,0,1,0,0,0
328,GFW8673,CHEVR,BL,2004,4,0,0,3,0,1,0
329,GFZ8673,KIA,BL,2011,12,0,0,12,0,0,0
330,GGB8673,HYUND,GY,2012,12,11,0,0,0,0,1
331,GGC8673,CADIL,BK,2008,1,0,0,0,0,1,0
332,GGF8673,LEXUS,BLACK,2001,2,0,0,0,0,2,0
333,GGL8673,BMW,BL,2010,5,0,5,0,0,0,0
334,GGM8673,NISSA,BLACK,2013.0,70,58,4,0,0,8,0
335,GGN8673,ACURA,BK,2006,12,0,8,0,0,4,0
336,GGS8673,FORD,GY,2013,10,9,0,1,0,0,0
337,GGT8673,TOYOT,BK,2013,3,0,0,0,0,3,0
338,GGW8673,HONDA,BL,2001,1,0,0,0,0,1,0
339,GGY8673,HONDA,GY,2007.0,9,0,0,0,0,9,0
340,GHC8673,SUBAR,BLACK,2013,2,0,0,2,0,0,0
341,GHE8673,HONDA,GY,2012,8,0,8,0,0,0,0
342,GHF8673,SUBAR,GY,2013,6,2,0,1,0,3,0
343,GHG8673,SUBAR,BK,2013,3,0,0,2,0,0,1
344,GHM8673,FORD,GREEN,1997,5,5,0,0,0,0,0
345,GHN8673,CHEVR,BK,2005,4,0,2,0,0,2,0
346,GHP8673,CHEVR,GY,2005,10,0,1,0,0,9,0
347,GHS8673,FORD,WHITE,0,10,5,0,5,0,0,0
348,GHV8673,LEXUS,BL,2013,2,0,0,0,0,2,0
